file,use_case,n_voxel_quotes,evidence_joined
1ffac178-0eee-4534-8fac-8babb3831770.json,Hot desk booking and seat allocation,9,"So we just kind of want to have that as an option as doing a hotel desk for all our new employees that are starting here at the company. | Oh, it's that, so yes, we don't have a lot of people coming in and out, but there are days where, you know, it's like, oh, everybody all at once comes in and then, or like people are traveling. | So it's like, they take some desk and then, you know, that person comes into the office this one time and it's, their desk is no longer available. | So it's more of just, you know, wanting to be better and structured about this. | So it's like, okay, we have, we know which employees don't come in as often. | So we just kind of want to make their desk as optional. | And in the morning, if they're coming into the office, they could be aware of like, oh, so-and-so is going to sit that day. | Like, because, you know, so if we have some hotel desk, at least we can keep those desks clear, so then others are not feeling like, oh, there's just, you know, random so-and-so sitting on my desk, and then taking my stuff, or moving my stuff around. | I think it was always just like, oh, wait, let's just make sure we have enough seats for people who are coming in and out, especially for new employees."
37033189-bb15-419d-bd12-d9c07c44acbd.json,Access to heatmap exploration tools for power users,1,We have heard similar requests from people who want a more interactive way to explore these views.
39760c03-665a-45f6-8b9a-dd7d6f88b8d3.json,No-idling/no-standing enforcement in parking and no-traffic areas,2,"Again, reiterating that we're not a security platform first, but people have used that to do, like, no idling or where people, like, it says, like, people can't just stand there and wait. | Like, so they do that for, like, parking lots or no traffic areas."
3a43e278-01b9-4daf-9ee7-978f585cf978.json,Operational productivity and safety program efficiency gains,6,"From an operational standpoint, you know, over time we can certainly prove out productivity gains. | Generally those are, you know, more related to workers being at work and not actually being out, you know, due to suffering a lost time injury. | But also we can generally identify savings around kind of like the efficiency gains associated with managing safety. | we're often able to, you know, correlate what the cost of that program was to administer in a pre and a post-Voxel state. | how can they be more efficient? | How can they be more productive?"
3a43e278-01b9-4daf-9ee7-978f585cf978.json,Machine shutdown use case (operations),3,"A machine shutdown workflow is one example of an area we may explore. | But at the end of the day, the operation really has to buy into the solution to make it work. | And so we've really found some key use cases for the operation that has really got their interest."
45f3120e-3169-4083-8b5c-c97d0f20cb0c.json,Forklift stop-at-intersection compliance tracking and analytics,4,"let's say that we're tracking a forklift, no stop at intersection, okay? | Make sure that that forklift or that pallet jack or that tugger or whatever vehicle it is that you have makes a full and complete stop there and then continues on. | We're capturing all of the vehicles moving through there. | We're able to give you the compliance of, hey, you complied to the stop rule 90-100% of the time because we see every opportunity to flag an event, and then, you know."
46c2fe16-50d6-44a5-a327-2443fc6f1ba7.json,Simple integration with an existing camera platform and IT onboarding,3,"When we hear that camera platform, we are generally optimistic because it tends to be straightforward for us to integrate with. | With that camera platform, the local setup is usually pretty simple. | Within that camera platform, there is a simple configuration step to enable the feed we need."
512af163-fb6a-447d-a767-f0cbb22fca95.json,Heat maps to identify operational bottlenecks and movement patterns,2,"So what's working, what are sort of the key flow patterns, pain points, choke points, know, certain areas that are leading to potentially more risk than others, really adding that visibility in place to make sure you guys are continuing to operate with the, you know, at scale with sort of the best data possible. | a heat map is extremely powerful when you're looking at it in a really busy area, know, sort of at full peak, full production, what do we need to focus on? And we have customers that use those, you know, day in, day out to identify operational bottlenecks"
5acbb9d9-77b9-4adb-bcd4-520dcb71a740.json,"Reduce property damage, equipment repair costs, and product shrink from PIT incidents",2,"I may have property damage. The door might be broken. I may have equipment repair needed on the pit for hitting the door. | And if those two did hit each other, this product is now shrink on some level, right?"
5acbb9d9-77b9-4adb-bcd4-520dcb71a740.json,Accelerate incident investigations with timestamps,3,"And that's when you go back to your camera system and spend a couple of hours of your life, maybe more, trying to figure out when the heck that mark got on your door. | we timestamp everything. | So, you know exactly where you're going."
5acbb9d9-77b9-4adb-bcd4-520dcb71a740.json,Obstruction detection for Federal Safety Bureau compliance and fines avoidance,1,"We don't want an emergency exit blocked, and or the fire extinguisher. If Federal Safety Bureau was walking through this facility, that's a fine, right?"
5e295dd9-85e3-4dea-930e-545e8e8eba60.json,Automated weekly snapshots and data delivery,1,"We're updating, you know, in terms of snapshots, like weekly snapshots and in-depth data that you can get delivered right to you."
5e295dd9-85e3-4dea-930e-545e8e8eba60.json,API feed updates/integration,1,"In addition to that, we're updating some other API feeds."
62eb5dc9-c22f-4846-92dd-07743da36faf.json,Protect privacy via body blurring to support wider use,1,We can even go into body blurring if we want them to anonymize completely so that there's no recognition of individuals.
62eb5dc9-c22f-4846-92dd-07743da36faf.json,Track intervention impact with platform markers,3,"So when they actually put in training, or if there is something that they are doing on the floor, we can add a marker. | And that way we can see, what did the data look like before, and now what does the data look like now? | So this is what a marker would look like, and what we could do when you do focus on ergo, we could put those in and be able to show you those trends."
62eb5dc9-c22f-4846-92dd-07743da36faf.json,Assign and track corrective actions in platform,2,"Actions is the new capability that not only allows you to comment on something, but you actually create a workflow within the platform on resolving, on communicating, on coaching, on changing, and having it assigned to individuals and others that can observe and putting. | So if I say, hey, I noticed that I've got something that's constantly creating a pinch point with the forklifts, and I want those obstructions moved in the next several hours, and I assign it to an individual, and I can track it, and I can check it off as it's completed, and we can see if, in fact, those pinch points result in fewer pit-to-pit interactions."
684871c9-1839-49d4-bbde-6a752de7cf25.json,Action management and coaching workflow,4,"If you click on Create Action, this opens an entire feedback loop that can be tracked from start to finish. | Yep, that does go to email. | But specifically here, if you create an action, they'll be listed here under Assigned Actions. | When an action is completed, we put what's called a marker automatically in your system."
684871c9-1839-49d4-bbde-6a752de7cf25.json,Heatmaps analytics to prioritize focus,3,"Second is our heat mapping tool. | Within a camera view, what are the hot spots where this is occurring within? | there is an open heat map icon for the last about a month that will appear."
6a0e07b5-9bef-4c88-80ad-9a732f2dbb91.json,Door open/propped duration monitoring,2,"This one's not just safety, but it's kind of a security element as well. When we see that the door is open for a certain amount of time, let's alert on that. Let's not leave the warehouse open and susceptible to strangers coming into the warehouse. | Boom. That's why your door's propped open. He just put a stick in the door."
6a0e07b5-9bef-4c88-80ad-9a732f2dbb91.json,Operational efficiency insights from video analytics,1,Why are we moving around this entire bay when what he's going after is a moderate distance away? We've got some efficiency gains that we can collaborate on here...
6a626eda-a54b-4bbc-a81d-8e11fd41428e.json,Food safety PPE compliance (hair nets and beard nets),2,"We also do hair nets and beard nets. | Those are obviously more food safety focused, though potentially relevant."
6a626eda-a54b-4bbc-a81d-8e11fd41428e.json,Enterprise-scale rollout across DCs and storefronts,3,we've seen customers that have moved beyond their initial pilot site or sites and have actually blown Voxel out across their entire organization. | One recent example was a customer that expanded from an initial pilot to a broader multi-site rollout. | And that now also includes a storefront component as well.
71760067-2b37-4ed0-90a0-a35957006c74.json,Cold storage door monitoring for energy savings,2,"tremendous use cases in cold storage, not only for safety, but energy consumption, open doors, condensation, ice falling on the floor, slip-trip fall hazard. | I saved hundreds of thousands of dollars in energy just by noticing that there was a door that was two feet open in Modesto, California, about two days a week."
71760067-2b37-4ed0-90a0-a35957006c74.json,Quality inspection via computer vision,2,"The other is quality. So a lot of our customers in the manufacturing world are saying, hey, I need to be able to, I can see using this for quality. | If I'm a paper — it might be looking for ink or tears or dots. If I'm an automotive stamping facility, it might be looking for weld quality or outside diameter of a precision drill."
765f10aa-97d9-45e4-a35d-6773e525bc2e.json,Tune no-pedestrian zone detection to reduce alert noise,4,"But if I hit the three dots and then I go to the active regions, I'm specifically looking at no-ped and this is where you're getting dinged is right here when you prep that pallet and when you prep the pallet down here. | Would you like to keep it? Or do you want us to remove the noise and narrow that scope? | So I will save and submit this and it'll go live this afternoon. | I just figured we get that no pedestrian fixed, and now you can start focusing on the real risk."
78509364-d178-4959-8806-043f2025efe1.json,Security/area control and after-hours presence detection,2,"We definitely have a lot of customers leveraging us for sort of security and area control type use cases, where it's like, did we detect a person in this area? | if we wanted to say, you know, let's make sure that there's no one in this area between the hours of 1 a.m.. and 6 a.m.., you know, we could sort of flag if anyone is there."
8a7ff309-11af-4250-ab87-4b2cf88b0f52.json,Product condition monitoring,3,"And we already put together a quick demonstration around product getting left out too long, because a customer asked us about it. | In that case, product was getting left out and going bad, which created a real loss for them. | We're talking to some customers in that space."
909a8d56-b5dc-4b0e-aff9-d097d46a0a58.json,Trailer pull-away detection at docks,2,"You know, one thing that I was thinking about, too, and this is probably a little bit more safety than operations, but like, you know, trailer pull-aways as well. | You know, that's a more complex computer vision problem, certainly has a safety and an operational component to it as well."
909a8d56-b5dc-4b0e-aff9-d097d46a0a58.json,Product damage tracking,1,"You know, when it comes to tracking product damage or exploring camera-based monitoring with other customers, one example is detecting when a product is out of spec or left where it should not be for too long."
950341d3-199c-40ca-a07d-f7771066f208.json,Obstruction detection standardization across sites,2,"So consistency from use case deployment, right? | If we do an obstruction, obstructions are going to be across the board this long, right?"
950341d3-199c-40ca-a07d-f7771066f208.json,Enterprise program governance and reporting,8,"I think the next about a month, just the clear priority is going to be, you know, program management establishment, and then technical validation and technical go-live, essentially. | But I think what's going to be imperative doing something at this size and scale is putting together some level of reporting as we go along and some sort of defined goals so we can keep a pulse on this. | But, you know, what are the expectations around usage? | What are the expectations around, you know, sort of data collection to validate the success of this across all organizations? | How do we playbook this, right? | It's project governance and program governance. | That's probably something we could help create, and then ask the corporate team to distribute it, rather than it coming from Voxel, coming from their leadership. | I've done this with Harbor Span Group, Granite Flow Systems, and we've also got a use case standardization template I put together for Harbor Span Group as well."
950341d3-199c-40ca-a07d-f7771066f208.json,Improve data accuracy via precise region configuration,3,"I think it's also, and I think I mentioned this within Slack, too, because we're going to have deeper camera coverage than we're used to at some of these sites. | There's a really awesome opportunity for us to be really specific in how we draw regions just to make sure that the data that we're providing... | Adding them is really accurate, because there's going to be overlap."
a1cd5278-e378-441c-a467-aeb78a5b4432.json,Site report and heatmap analytics to find hotspots by camera/time and track outcomes,6,"So this automatically takes a 30-day view for the previous month. | You can see completed actions by type. | A 20-25% spike. | a lot of the events are happening within the first a few cameras. So Aisle Cluster B, Aisle Cluster C | I can open the heat map just to see where this is happening more specifically. | And it looks like, you know, typically Thursdays around 8 p.m.. Central are your hot days"
a4393e52-d7df-4f74-a9ac-48600f2c0007.json,Review dashboard metrics and product enhancements to identify opportunities,2,I typically run through dashboard metrics to understand where opportunities lie and make sure you guys are open to hearing about our product enhancements and what you can leverage from that perspective as well. | Just wanted to briefly walk through some of the metrics.
a7293f69-af12-41b7-bfa9-a904e3bffa11.json,Sensitive-inventory monitoring pilot,6,"We're going to do a pilot. | The timing is still being worked through. | of what that will entail, but they had a very specific maintenance need, and we are exploring ways to support it. | So we put together an early concept to review last week, and we'll keep working on it. | And so, but the maintenance kind of issue came up as top priority. | So we put together a way to meet that."
aa7a4873-c2d8-41b6-bd05-0600530e7764.json,Area controls (restricted zones and product placement policies),2,I would say things like area controls. | So like should product never be left somewhere? Should someone never be somewhere for any amount of time?
aa7a4873-c2d8-41b6-bd05-0600530e7764.json,Identify operational improvements and efficiency gains from data,1,"Maybe it leads to an operational improvement, efficiency gains that we can start talking about."
ab25c025-3c1d-4127-8784-51d4c905ea23.json,Enterprise safety analytics and summary view,3,"what we're pulling to the forefront for you guys is that enterprise visibility into how often, when, and where those things are happening. | for someone like you that oversees multiple facilities, as you go from one to many with Voxel, we have a summary view where all those sites feed into one, right? | And you have that common language of understanding that leading indicator of risk at any point in time."
ab25c025-3c1d-4127-8784-51d4c905ea23.json,Use historical data to support internal review,3,"A lot of what we do is help customers have that internal conversation when spending is under more scrutiny. | We can use historical safety performance to show the likely impact without getting overly specific. | If you have multi-year facility data, we can use that to put something together for internal review."
ac14b2a4-2a18-45c0-9f6d-3956fb2f1e85.json,Food hygiene PPE compliance (hair nets and beard nets),1,"We just did like hair nets and beard nets for some of our food, food processors."
b5715671-0f5a-4f2a-9584-43420ff6ebc4.json,Trial validation of detection and workflow integration,3,"It does, Voxel actually pick up the things that we say we're going to, so detection capabilities. | the trends and just getting the data in there, the interoperability with the platform, right? Making sure you like the way it works and that it fits with your workflow. | starting to put a plan in place for taking action on those opportunities for improvement."
bc645b88-89e5-4865-8782-5e17b6a20c20.json,Security monitoring (license plate recognition and restricted-hours alerts),2,"You know, let's say that, you know, you have an employee, they're no longer, you with the company, we can also do recognition on license plates, so that, you know, immediately you're getting a ping, hey, you know, this license plate is coming back into the facility, or in the proximity, we can also do, you know, hey, we don't want anyone in this area from, you know, midnight to till 8 a.m., and we can do notifications if that happens. | So, there's a lot of use cases for security, so well."
bc645b88-89e5-4865-8782-5e17b6a20c20.json,Operational efficiency identification,3,"Like, we are helping a lot of customers uncover operational efficiencies. | You know, being able to kind of look at some of these clips and say, wow, there's a better way for us to be doing this. | You know, we actually could save time and we could allocate, you know, these folks time to kind of looking at this or maybe doing it this way."
c3ceb91a-e15d-4326-8a39-cfdb26dde294.json,Getting sites onto the same schedule,3,We talked about getting multiple sites onto the same schedule going forward. | We also talked about paperwork that would make things simpler to manage over time. | It would also help to standardize how this is handled across sites so there are fewer surprises.
dd2a6900-b843-4234-88ac-ecaa37ab4750.json,Safety reporting and coaching workflows,4,"you're going to be able to get that, you know, 30, 60, 90 report on how you're improving or, you know, maybe we're getting worse on it and we need to go back to the drawing board here and make some operational changes. | assigning these incidents to specific team members to close that coaching loop... Kimberly's been assigned seven. She's only completed and coached on four of those seven loops. | We can then implement this bar onto this graph and we can see how we're trending up or we're trending down after that rule change was made. | It's all going to populate in real time. So you're going to know exactly what is going on."
dd2a6900-b843-4234-88ac-ecaa37ab4750.json,Cross-site and shift compliance benchmarking,2,"You're going to be able to see that overarching site view. So when we look at this specific use case across all sites, we can easily pinpoint which site is, you know, the least compliant for the rules we have in place. | we can see which shift is being the most compliant with the rules we have in place... we need to go back to the drawing board here and, you know, mention this on our Friday stand-up to all shifts."
dd2a6900-b843-4234-88ac-ecaa37ab4750.json,Integration with an external workflow tool via API/data export,1,"We're going to be able to push that safety data into an external workflow tool, either by downloading and uploading the data or by using an API to push it directly over."
dd2a6900-b843-4234-88ac-ecaa37ab4750.json,Reduce time spent on manual observations,1,"within 10, 15 seconds of clicking on this, this use case in the platform, you're going to be able to target that area of concern very quickly. I'm going to save you time from, you know, standing out there all day and watching two, three people."
dd6490e5-9b50-4589-ab35-4245c3becc1c.json,Parking duration monitoring,3,"Stopping and Starting, Parking, | Truck Wash, curious, | no, we haven't got a parking duration there yet"
e1348b58-5121-4bba-8f64-a352b6e11086.json,Operational anomaly detection,3,"because it's more of an operationally focused use case and something that's less safety focused, we think that we. | We can expand this more broadly across sites rather than doing it only in a few places at a time. | And that example for them was doing something a bit outside our usual scope, which was identifying operational anomalies with camera-based monitoring."
e4b2f981-a2ca-4c45-9257-ff6af898d095.json,Quantify impact of safety interventions with leading indicators and markers,4,"We can incorporate, you can see the small note here, we can incorporate these things called markers to show safety, training changes, behavior changes, conversations, to see what the impact is of the changes that we're making from a safety perspective. | But now we can actually look at the leading indicator data to say, okay, we added more lift tables, or we've done X, Y, and Z. | We've added a stop sign here to try to change forklift driving behaviors. | Now we can have a really good indication of has that been impactful or not."
e7b7349c-1375-458c-bd7e-69ba9dcdd057.json,Operational analytics: monitor open door durations,1,"and then some operational, open door durations, et cetera."
edc1276d-8486-4554-b8e5-0dfd4ffc3882.json,No‑parking zone enforcement,2,"We'd enable certain incident types. Like for example, I mentioned a no pedestrian zone or a no parking zone. | So like, hey, if you're parked in this area for more than 10 seconds, then give me an incident, right?"
eeff5c72-c472-4c17-b4b5-f2c181e024b2.json,Assign and track follow-ups with Actions,5,I wanted to walk you guys through this new Actions workflow that we released. | let's just put sort of revisit process for loading totes. | I could add you as a subscriber. | I could put a due date here. | and then you can mark it as complete.
f3432b37-3049-414d-a90b-1df41934a165.json,After-hours presence/time-based access monitoring,1,"area controls could be like, and you can use this for security. So like no pedestrian zones could be, to your point, also like after hours or when people shouldn't be somewhere from a time perspective"
fc07344d-07f9-44b8-9cd2-5df1719a946d.json,Open door duration monitoring,1,"overreaching, ergonomic risks, obstruction for certain areas, open door duration, parking duration."
fc07344d-07f9-44b8-9cd2-5df1719a946d.json,Parking duration monitoring,1,"overreaching, ergonomic risks, obstruction for certain areas, open door duration, parking duration."
fc07344d-07f9-44b8-9cd2-5df1719a946d.json,Safety incident reporting and trend analysis,4,"And the time range defaults to the last full month, so in this case, November 1st to the 22nd. | Who's creating these actions? How many did they create? You know, how quickly do they complete them? The average completion time will be listed. | Incidence by camera, and then a little bit further at the bottom, incidence by time period. | based off of that action, afterwards, you can gauge how effective was my coaching effort on this particular event, basically saying, after I did this, did this reduce the incidents that came in?"
fc07344d-07f9-44b8-9cd2-5df1719a946d.json,Safety performance benchmarking and goal tracking,1,we are working toward more formal benchmarking capabilities so you can set goals and compare your trends against them over time.
