file,meeting_title,use_case,min_quote_len,evidence_joined
45f3120e-3169-4083-8b5c-c97d0f20cb0c.json,Voxel AI Demo,Use historical data to support internal review,34,Do you have historical facility data we could use for that conversation? | We usually look at historical incident patterns and before-and-after comparisons to tell that story without getting too detailed. | I can get that data fairly easily.
4a8eec15-4283-4c69-aac7-42e507b8c061.json,Ridge Stack Industrial/Voxel pilot deliverables,Role‑based boards and dashboard customization for MODs,28,"I'm pretty sure, you know, if we request a certain type of dashboard, you guys could deliver it. | we do that through a functionality within the platform with multiple dashboards, but the one that I think the MODs are going to interface with most is going to be called what we call boards. | map the various MODs and understand not only what shift they cover and then also what camera purviews might be relevant to them and which ones may not be so that we can create boards and subscribe them to those boards | and it's only going to show them a set number of clips, at least that they're at the board level, at that, like when they just log in, they're going to see five things they can work on | the board's concept is nice."
5acbb9d9-77b9-4adb-bcd4-520dcb71a740.json,Trail Lift Works + Voxel - Deployment,Accelerate incident investigations with timestamps,24,"And that's when you go back to your camera system and spend a couple of hours of your life, maybe more, trying to figure out when the heck that mark got on your door. | we timestamp everything. | So, you know exactly where you're going."
62eb5dc9-c22f-4846-92dd-07743da36faf.json,Voxel Follow Up,Broaden platform engagement via role-based access and targeted boards,32,"We've got six, eight, ten people with login that can come in, can make an observation, can give a positive comment, can maybe provide some insights on what they're seeing. | We now have a contributor role where they're only seeing what you guys want them to see. | Yesterday has had all cameras now on that board showing for pit to pit. | But we can separate it by shift. | Yeah, that may make it more manageable for, you know, if we're trying to push things down to leaders to say, hey, a leader's going to log in and he's only going to see things that impact his shift."
684871c9-1839-49d4-bbde-6a752de7cf25.json,Prime Signal Materials / Voxel Sync ,Action management and coaching workflow,27,"If you click on Create Action, this opens an entire feedback loop that can be tracked from start to finish. | Yep, that does go to email. | But specifically here, if you create an action, they'll be listed here under Assigned Actions. | When an action is completed, we put what's called a marker automatically in your system."
684871c9-1839-49d4-bbde-6a752de7cf25.json,Prime Signal Materials / Voxel Sync ,Heatmaps analytics to prioritize focus,32,"Second is our heat mapping tool. | Within a camera view, what are the hot spots where this is occurring within? | there is an open heat map icon for the last about a month that will appear."
765f10aa-97d9-45e4-a35d-6773e525bc2e.json,Forge Axis Solutions / Voxel Monthly Sync,Exclude planned events from analytics to avoid skewed metrics,29,"And I will say if we do get a spike right now, which we shouldn't, but we're doing our fire drills this week. | That's something we can hide. | Like if you want to select a particular time frame, we can actually remove that information because it's not contributing to your overall efforts for safety. | It's definitely for those instances where some customers come to me and are like, hey, we have families on site today. | You know, there's not going to be safety vests."
909a8d56-b5dc-4b0e-aff9-d097d46a0a58.json,Field Span Transport / Voxel:  Pick up discussions and confirm next steps,Product condition and dwell-time detection,31,"You know, when it comes to tracking product damage or exploring camera-based monitoring in this area, one example is detecting when a product is out of spec or left where it should not be for too long. | Yeah, and claim-focused, right? | If you're finding something that's out of spec."
950341d3-199c-40ca-a07d-f7771066f208.json,Pioneer Market Group Internal Sync - Deployment Phase,Enterprise program governance and reporting,31,"I think the next about a month, just the clear priority is going to be, you know, program management establishment, and then technical validation and technical go-live, essentially. | But I think what's going to be imperative doing something at this size and scale is putting together some level of reporting as we go along and some sort of defined goals so we can keep a pulse on this. | But, you know, what are the expectations around usage? | What are the expectations around, you know, sort of data collection to validate the success of this across all organizations? | How do we playbook this, right? | It's project governance and program governance. | That's probably something we could help create, and then ask the corporate team to distribute it, rather than it coming from Voxel, coming from their leadership. | I've done this with Harbor Span Group, Granite Flow Systems, and we've also got a use case standardization template I put together for Harbor Span Group as well."
980ead37-1d6b-4667-83b2-04150d12e552.json,Bridge Mill Transport / Voxel Bi-Weekly Sync,Address PIT parking duration impacting aisle flow at central crossway,28,"The one area I wanted to highlight with you was parking duration, because that saw a pretty sharp increase this past month. | And it looks like, you know, far and away, the central crossway is the top offender. | No, they're not supposed to. | We coach them or we do a write-up, and it's the back and forth with the union on what's okay."
9cf59bde-7476-40cd-98e0-1a29c45a536b.json,Peak Ridge Works + Voxel - Intro Call,Integrate with existing camera infrastructure (no hardware replacement),34,We have our own camera system and infrastructure now. | We're not looking to replace that. | So we integrate with your existing security cameras. | So our software just overlays on top of your existing security cameras.
9f23bf36-bb37-4f9f-bbe9-5d7a70759ea9.json,Bridge Mill Transport / Voxel Bi-Weekly Sync,Actions workflow for incident and task management,13,"create action | It gives prescriptive next steps in terms of how you can address this. | It allows for people to be assigned to different areas as well, and you can also subscribe in order to follow the event from start to finish. | you can also include a due date. | The suggested actions is something I'd point to your attention, because this is based on the most common interventions that our customers take. | I mean, for us, this is going be super helpful. | now it's just clicking on it. We don't necessarily need to type it all in."
a1cd5278-e378-441c-a467-aeb78a5b4432.json,Union Track Dynamics / Voxel Monthly Sync,"Action management workflow with ownership, cross-shift follow-up, timelines, and impact markers",31,"you kind of can assign it to one single person so they can do it rather than a group. | if someone's off, you know, the other ship members can take care of it. They see it, you know, they can follow by, follow through, follow up. | I like the create a timeline for it. | what happens is when an action is completed and it follows a specific, you know, next step, like retrain, you know, part of the team or implement it. | There's a marker that's placed. | Based on this afterwards, how has this impacted the trends for the business and for that particular site?"
a1cd5278-e378-441c-a467-aeb78a5b4432.json,Union Track Dynamics / Voxel Monthly Sync,Site report and heatmap analytics to find hotspots by camera/time and track outcomes,15,"So this automatically takes a 30-day view for the previous month. | You can see completed actions by type. | A 20-25% spike. | a lot of the events are happening within the first a few cameras. So Aisle Cluster B, Aisle Cluster C | I can open the heat map just to see where this is happening more specifically. | And it looks like, you know, typically Thursdays around 8 p.m.. Central are your hot days"
a1cd5278-e378-441c-a467-aeb78a5b4432.json,Union Track Dynamics / Voxel Monthly Sync,Aisle obstruction and pallet buildup monitoring to improve pallet flow,34,"that also shows a buildup of palettes there, and that's something that I would like to, you know, you could get rid of a couple of things with that. | know 27 is actually pretty packed. | I'm trying to get some of the pallet traffic back into the room that it needs to be in."
a4393e52-d7df-4f74-a9ac-48600f2c0007.json,Iron Grid Fabrication / Voxel Monthly Overview,Track and close the loop on safety corrective actions with the Actions workflow,27,"there seems to be some confusion amongst the supervisors about how they navigate it now. | So I have had some think that they click it once and now they're done like it used to be and they didn't understand that they had to go back in and click it a second time and do all that. | But the beauty of this is you get to see, it really closes that loop. | We can track that progress."
a4393e52-d7df-4f74-a9ac-48600f2c0007.json,Iron Grid Fabrication / Voxel Monthly Overview,Re-scope cameras/zones to manage alert volume and reduce false positives,28,"We re-scoped, got the total daily incidents down. | If you have cameras that have moved or you have just a spike in trends, it could be a potential that the camera has moved. | And now we need to re-scope."
a7293f69-af12-41b7-bfa9-a904e3bffa11.json,Meridian Works Operations MMS / Voxel - site safety touch base,Sensitive-inventory monitoring pilot,26,"We're going to do a pilot. | The timing is still being worked through. | of what that will entail, but they had a very specific maintenance need, and we are exploring ways to support it. | So we put together an early concept to review last week, and we'll keep working on it. | And so, but the maintenance kind of issue came up as top priority. | So we put together a way to meet that."
ac14b2a4-2a18-45c0-9f6d-3956fb2f1e85.json,Jordan/Riley - Introduction,Export operational data to external BI/EHS systems,18,"Not at this point. | It's still very exploratory. | The way that we're doing that right now is through CSV pushes of data out to their platforms, and then they are either using an external reporting layer or importing it into some other system."
b7320572-5b94-4ad1-a61f-1d9fe3310b67.json,South Track Dynamics / Voxel Monthly,Daily summary email delivery and notifications,30,"I stopped getting Voxel notifications on August 21st. | Usually, I get a daily report. | Support showing incidents and findings. | Oh, and we'll follow up on the emails, the Daily Summer emails, Alex."
dd077f4c-3e4b-46aa-9945-d8fd10877195.json,Voxel / Vale Bridge Systems Training,Action tracking and accountability for safety interventions,33,"So that's really where actions comes into play, and it's a different way of assigning different video clips to folks to focus on specific coaching efforts, but it also gives you more prescriptive next steps with different suggested titles that we offer. | And then in addition, we do have due dates associated with those particular events. | So what this allows you to do if you're assigning something out to somebody is select yourself or a group of other people. | They'll get email notifications when the status gets changed, when it gets assigned. | Is there a way to run a report to see what's open, what's completed? | So what's been assigned, what's in progress is in the middle. | What's completed is on the right. | And there's a couple of things that I could note as well here on this page because it does give you user-by-user information about how many have been generated, who's completed what, what the average completion time is. | Because I think it'll be key for us to track things and moving forward. | there's a marker in your dashboard that goes over the data so you could see thereafter, like, what impact is this having? | Based on what you guys are doing, based on the platform insights, is that actually having an effect? the events going down in volume over time?"
dd6490e5-9b50-4589-ab35-4245c3becc1c.json,Kodiak Point Fabrication/Kodiak Point Fabrication + Voxel - Deployment Sync,Parking duration monitoring,20,"Stopping and Starting, Parking, | Truck Wash, curious, | no, we haven't got a parking duration there yet"
ed7d25b7-2ff1-415d-b27e-fbc76f5084ca.json,Oak Motive Solutions / Voxel Bi-Weekly Sync,Maintenance window suppression (no incident capture during scheduled work),9,"So their normal maintenance day is on Sundays. | So we need to add that in to the, no incident capturing Sundays from. | 6A to 6P. | All right. I'll get that added in there."
eeff5c72-c472-4c17-b4b5-f2c181e024b2.json,Foundry Harbor Manufacturing / Voxel Sync,Assign and track follow-ups with Actions,28,I wanted to walk you guys through this new Actions workflow that we released. | let's just put sort of revisit process for loading totes. | I could add you as a subscriber. | I could put a due date here. | and then you can mark it as complete.
